"","Units","scenario","region","sector","year","value"
"1","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",1975,0.0702306
"2","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",1990,0.123686
"3","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2005,0.298414761114509
"4","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2010,0.212812266784514
"5","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2015,0.262366843342229
"6","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2020,0.291750661954696
"7","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2025,0.289747552274573
"8","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2030,0.254778028960522
"9","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2035,0.202211470908836
"10","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2040,0.162064252073731
"11","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2045,0.12819459024692
"12","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2050,0.102627657730432
"13","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2055,0.0883868743842536
"14","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2060,0.0796430001011043
"15","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2065,0.0738969230834697
"16","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2070,0.069409625451893
"17","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2075,0.0656910557724722
"18","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2080,0.0634060824761881
"19","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2085,0.0621095755850416
"20","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2090,0.0611849555330246
"21","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2095,0.060162366653459
"22","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","agricultural energy use",2100,0.0590622727885968
"23","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2030,-0.316908
"24","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2035,-3.48498
"25","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2040,-22.0367
"26","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2045,-25.9527
"27","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2050,-6.80463
"28","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2055,-1.06145
"29","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2060,-0.800087
"30","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2065,-0.582351
"31","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2070,-0.423967
"32","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2075,-0.340549
"33","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2080,-0.296037
"34","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2085,-0.240458
"35","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2090,-0.206447
"36","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2095,-0.172256
"37","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","airCO2",2100,-0.158231
"38","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2020,2.67585144998532e-09
"39","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2025,7.5075893235246e-05
"40","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2030,0.0161032835929888
"41","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2035,0.0733732756509049
"42","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2040,0.253532698373819
"43","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2045,0.587513309066928
"44","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2050,0.925464752350009
"45","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2055,1.20353053594455
"46","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2060,1.35228223557375
"47","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2065,1.38896933072313
"48","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2070,1.34536253747597
"49","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2075,1.33871340306179
"50","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2080,1.3993214038225
"51","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2085,1.45591402021188
"52","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2090,1.48972300556271
"53","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2095,1.49285569037441
"54","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","backup_electricity",2100,1.47849789041489
"55","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",1975,0.192
"56","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",1990,0.299
"57","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2005,0.725
"58","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2010,1.093
"59","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2015,1.093
"60","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2020,1.325247
"61","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2025,1.3315381
"62","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2030,1.35173227
"63","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2035,1.11412796
"64","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2040,0.85118356
"65","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2045,0.77832715
"66","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2050,0.781312833
"67","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2055,0.809224284
"68","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2060,0.8444919764
"69","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2065,0.878025555
"70","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2070,0.910394642
"71","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2075,0.937751129
"72","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2080,0.956623657
"73","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2085,0.966995693
"74","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2090,0.972727052
"75","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2095,0.977422969
"76","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","cement",2100,0.981851556
"77","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",1990,0.0113099
"78","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2005,0.024435531
"79","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2010,0.026973545
"80","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2015,0.029859852
"81","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2020,0.033897344
"82","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2025,0.03164058451
"83","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2030,0.03852613564
"84","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2035,0.04978565511
"85","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2040,0.06545518872
"86","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2045,0.08747605875
"87","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2050,0.11678901118
"88","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2055,0.16591413359
"89","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2060,0.22744924694
"90","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2065,0.30161735034
"91","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2070,0.38384643401
"92","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2075,0.46969147849
"93","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2080,0.55597848593
"94","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2085,0.63817545842
"95","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2090,0.7091184015
"96","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2095,0.76632032061
"97","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm heating",2100,0.81779023173
"98","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",1990,0.221898730684502
"99","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2005,0.485119637915239
"100","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2010,0.535191456639642
"101","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2015,0.591517089345466
"102","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2020,0.424478315654884
"103","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2025,0.215016472360296
"104","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2030,0.136080194065687
"105","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2035,0.0988937505225325
"106","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2040,0.076522678671077
"107","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2045,0.0611084068374852
"108","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2050,0.0488087534871925
"109","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2055,0.0489602944519017
"110","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2060,0.0473138250477101
"111","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2065,0.0443981159020097
"112","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2070,0.040734618703565
"113","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2075,0.0372452388285736
"114","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2080,0.0342614044293274
"115","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2085,0.0311709386651442
"116","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2090,0.0279070467215423
"117","MTC","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","comm others",2095,0.024640055354005
