"","Units","scenario","region","sector","subsector","PrimaryFuelCO2Coef.name","year","value","PrimaryFuelCO2Coef","fuel"
"1","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2020,4.08485e-05,0,"biomass"
"2","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2025,0.00044768199,0,"biomass"
"3","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2030,0.0028589457,0,"biomass"
"4","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2035,0.014058417575,0,"biomass"
"5","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2040,0.024357897905,0,"biomass"
"6","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2045,0.025247814794,0,"biomass"
"7","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2050,0.025898726365,0,"biomass"
"8","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2055,0.02567731992,0,"biomass"
"9","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2060,0.02636915062,0,"biomass"
"10","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2065,0.02356877291,0,"biomass"
"11","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2070,0.02442948091,0,"biomass"
"12","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2075,0.0226682338,0,"biomass"
"13","EJ","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","H2 central production","biomass","regional biomass",2080,0.02054278574,0,"biomass"
