scenario,region,direct,transformation,enduse,ghg,Units,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,cement,cement,N2O,MTCO2e,0.070433144,0.033159362,0.017690522,0.030938187,0.024819318,0.015890743,0.009470186,0.00370159,0.00106205,0.000273754,5.10E-05,6.16E-06,3.47E-07,3.56E-09,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,comm heating,comm heating,N2O,MTCO2e,0.000101485,3.17E-05,1.63E-05,2.10E-05,7.08E-07,1.88E-07,8.71E-08,4.12E-08,1.45E-08,3.90E-09,8.92E-10,1.27E-10,8.34E-12,9.74E-14,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,comm others,comm others,N2O,MTCO2e,0.004583931,0.001436915,0.000728859,0.00066154,1.98E-05,3.50E-06,1.16E-06,4.03E-07,1.06E-07,2.09E-08,4.09E-09,4.91E-10,2.68E-11,2.62E-13,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,agricultural energy use,N2O,MTCO2e,0.003287279,0.001511129,0.000863323,0.001895305,0.00073287,0.000242796,0.000181047,7.78E-05,1.75E-05,3.39E-06,4.98E-07,4.76E-08,2.19E-09,2.08E-11,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,cement,N2O,MTCO2e,0.008186008,0.00439346,0.001111172,0.001977008,0.000327664,7.84E-05,6.00E-05,3.14E-05,8.44E-06,1.78E-06,2.82E-07,2.84E-08,1.34E-09,1.29E-11,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,comm cooling,N2O,MTCO2e,0.010522198,0.005848927,0.001935634,0.00392697,0.00079819,0.000191998,0.000140854,7.26E-05,2.00E-05,4.75E-06,8.92E-07,1.09E-07,6.16E-09,6.90E-11,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,comm others,N2O,MTCO2e,0.04105598,0.022821613,0.007552581,0.021938251,0.005903208,0.00161457,0.001263999,0.000679889,0.000193558,4.75E-05,9.19E-06,1.15E-06,6.65E-08,7.60E-10,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,Freight Rail,N2O,MTCO2e,3.25E-05,0,0,0,0,0,1.71E-06,1.47E-06,4.81E-07,1.18E-07,2.05E-08,2.37E-09,1.31E-10,1.51E-12,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,industrial energy use,N2O,MTCO2e,0.073047506,0.031629652,0.01169625,0.021964696,0.009202905,0.004980547,0.006043788,0.003927412,0.00113301,0.000256168,4.28E-05,4.49E-06,2.17E-07,2.11E-09,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,Passenger Rail,N2O,MTCO2e,3.25E-05,0,0,0,0,0,4.08E-07,2.61E-07,6.55E-08,1.26E-08,1.74E-09,1.57E-10,6.78E-12,6.06E-14,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,resid cooling,N2O,MTCO2e,0.03272478,0.018244903,0.006874714,0.012876123,0.002517273,0.000573437,0.000398437,0.000193799,4.98E-05,1.10E-05,1.88E-06,2.10E-07,1.09E-08,1.12E-10,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,electricity,resid others,N2O,MTCO2e,0.037902926,0.021131905,0.007962541,0.02945419,0.009710897,0.003068958,0.00251894,0.00132452,0.000351241,7.73E-05,1.30E-05,1.40E-06,7.02E-08,7.09E-10,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,industrial energy use,industrial energy use,N2O,MTCO2e,0.099426929,0.042154549,0.084327756,0.145113182,0.122661321,0.080725033,0.049386786,0.019653272,0.005207977,0.001072153,0.0001669,1.71E-05,8.43E-07,7.89E-09,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,coal,resid others,resid others,N2O,MTCO2e,0.000260229,0.000244702,4.38E-05,4.78E-05,1.61E-06,2.85E-07,8.41E-08,2.45E-08,5.11E-09,7.82E-10,1.16E-10,1.06E-11,4.45E-13,3.45E-15,0,0,0,0,0,0
GCAM_CWF_W16_nuctrial3_cprice12,Africa_Eastern,oil,electricity,agricultural energy use,CH4,MTCO2e,0.001963613,0.001772555,0.002272539,0.003379798,0.00228057,0.002232612,0.002328303,0.001546923,0.000755609,0.000392606,0.00018457,8.70E-05,4.35E-05,2.56E-05,1.58E-05,9.69E-06,6.36E-06,4.22E-06,2.71E-06,1.84E-06
