sector,fuel
backup_electricity,backup_electricity
csp_backup,backup_electricity
elec_biomass (conv CCS),biomass
elec_biomass (conv),biomass
elec_biomass (IGCC CCS),biomass
elec_biomass (IGCC),biomass
elec_coal (conv pul CCS),coal
elec_coal (conv pul),coal
elec_coal (IGCC CCS),coal
elec_coal (IGCC),coal
elec_gas (CC CCS),gas
elec_gas (CC),gas
elec_gas (steam/CT),gas
elec_refined liquids (CC CCS),oil
elec_refined liquids (CC),oil
elec_refined liquids (steam/CT),oil
electricity,electricity
electricity_net_ownuse,electricity_net_ownuse
