"","scenario","region","direct","transformation","enduse","ghg","Units","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"1","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","2W and 3W","2W and 3W","2W and 3W","CH4","MTCO2e",0.0009622788,0.0014456008,0.0019938856,0.0010634904,0.00017722516,6.157592e-05,2.909648e-05,1.2132988e-05,5.085332e-06,2.179366e-06,1.9032188e-06,1.6225272e-06,1.3628272e-06,1.1255048e-06,9.523108e-07,8.427888e-07,7.360248e-07,6.405e-07,5.533416e-07,4.660348e-07
"2","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","2W and 3W","2W and 3W","2W and 3W","N2O","MTCO2e",0.0006778806,0.0011561632,0.0014056925,0.0007497645,0.000124944055,4.341124e-05,2.05129875e-05,8.553776e-06,3.585185e-06,1.5364594e-06,1.3417745e-06,1.14388575e-06,9.6079725e-07,7.934842e-07,6.713828e-07,5.9416975e-07,5.1889915e-07,4.515547e-07,3.901065e-07,3.2855495e-07
"3","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","Beef","Beef","Beef","CH4_AGR","MTCO2e",61.006862,68.4251288,65.6832456,71.72503912,76.090069944,78.882637876,80.60273592,81.115419756,80.361473332,78.623848184,75.491975356,71.643411574,67.5473119104,63.4478935412,59.8855773992,56.3105475576,52.766242676,49.2920667344,45.9316039756,42.7448040544
"4","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","Beef","Beef","Beef","N2O_AGR","MTCO2e",8.552144925,8.59407879,8.12917445,8.876971855,9.4171529218,9.76281940675,9.97567277565,10.03914690595,9.9458084867,9.73075169315,9.34318005595,8.86684010947,8.35988869806,7.85251629758,7.411633718125,6.96918735512,6.53054754778,6.100558772765,5.684671268645,5.29023517241
"5","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","agricultural energy use","agricultural energy use","CO2","MTCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","agricultural energy use","agricultural energy use","N2O_AGR","MTCO2e",0,0,0,0.00491857264705385,0.00461512006890081,0.00268816665249815,0.00087446862266568,0.00043824799198999,0.00023460982019657,0.00014338236234959,8.10356017702405e-05,5.94770132973309e-05,5.88007280353564e-05,6.52487367177536e-05,8.50902189001236e-05,0.00010995634041209,0.00013517765707227,0.00014958631913711,0.00015795521025538,0.00017079009241878
"7","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","biomass","biomass","LUC CO2","MTCO2e",0,0,0,-64.5513506762541,-35.6399285997902,-28.6177553926882,4.84835389178107,28.4648852219816,25.0781774584474,17.2415811128263,16.7507413681175,10.0279428047101,4.15538904248991,1.25658679391682,-1.22595914993082,-2.36282231396701,-2.60458837197374,-2.69510360917873,-2.76888806727797,-3.14306128600395
"8","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","cement","cement","N2O_AGR","MTCO2e",0,0,0,0.00034782933144311,0.00048741410364194,0.00081572593510935,0.00095371263978353,0.0008190704918506,0.00076743949552738,0.00075714889196921,0.00056807660266237,0.00046961840520626,0.00047897642488797,0.00053521776782742,0.00071018053573883,0.00092289095261608,0.00112155995082156,0.00120008379035356,0.00120395203772381,0.00123088774143468
"9","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","comm others","comm others","CO2","MTCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","comm others","comm others","N2O_AGR","MTCO2e",0,0,0,0.0154462337821702,0.0064373348417888,0.00304584295800084,0.00132967908651415,0.00050882336501791,0.0002464789631661,0.00014317823732449,0.00010833525362829,9.38452514085681e-05,9.760997542604e-05,0.000107845057173,0.000133896259741,0.00016300893142361,0.00018475959930978,0.00019033245659883,0.00018602378931674,0.00018258605011151
"11","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","construction","construction","N2O_AGR","MTCO2e",0,0,0,5.82471754509188e-06,2.35066030511969e-05,5.29675702281873e-05,6.06167696959249e-05,4.29988294647115e-05,3.24833750840427e-05,2.69175309800637e-05,1.84808763364978e-05,1.48648781817328e-05,1.50280192510703e-05,1.64423168174052e-05,2.08596822392202e-05,2.5708260816067e-05,2.95622260167659e-05,2.99135519362868e-05,2.82996589760547e-05,2.70944483950458e-05
"12","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","construction energy use","construction energy use","CO2","MTCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","2W and 3W","CO2","MTCO2e",0,0,0,-1.9649771742023e-08,-0.00584979882524515,-0.0158156674892152,-0.0259982924423218,-0.0263046672224139,-0.0158712369980869,-0.00768146559209166,-0.0045793228555669,-0.0031629862196477,-0.00229137148974724,-0.00188354171615621,-0.00151642908335162,-0.00126187738738443,-0.00110779077474735,-0.00108673582732389,-0.00110840447594135,-0.00114176567409301
"14","GCAM_CWF_W16_nuctrial3_cprice12","Africa_Eastern","biomass","electricity","2W and 3W","N2O_AGR","MTCO2e",0,0,0,1.08635000692358e-05,2.79778639875769e-05,6.08296761026119e-05,8.22836800987815e-05,5.82618978527861e-05,2.85252390187074e-05,1.30347501739778e-05,5.94461519773359e-06,3.53405890872167e-06,2.7035613167525e-06,2.520204850758e-06,2.68888039084229e-06,2.94729260309652e-06,3.21958375031361e-06,3.48942005061779e-06,3.70481852595424e-06,4.01160806878315e-06
